Employee ID,Last Name,First Name,Birthday,Address,Phone Number,SSS #,Philhealth #,Pag-ibig #,TIN #,Status,Position,Immediate Supervisor,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Hourly Rate
10001,Garcia,Manuel III,10/11/1983,Valero Carpark Building Valero Street 1227 Makati City,966-860-270,44-4506057-3,820126853951,691295330870,442-605-657-000,Regular,Chief Executive Officer,None,90000,1500,2000,1000,536
10002,Lim,Antonio,06/19/1988,San Antonio De Padua 2 Block 1 Lot 8 and 2 Dasmarinas Cavite,171-867-411,52-2061274-9,331735646338,663904995411,683-102-776-000,Regular,Chief Operating Officer,Garcia Manuel III,60000,1500,2000,1000,357
10003,Aquino,Bianca Sofia,08/04/1989,Rm. 402 4/F Jiao Building Timog Avenue Cor. Quezon Avenue 1100 Quezon City,966-889-370,30-8870406-2,177451189665,171519773969,971-711-280-000,Regular,Chief Finance Officer,Garcia Manuel III,60000,1500,2000,1000,357
10004,Reyes,Isabella,06/16/1994,460 Solanda Street Intramuros 1000 Manila,786-868-477,40-2511815-0,341911411254,416946776041,876-809-437-000,Regular,Chief Marketing Officer,Garcia Manuel III,60000,1500,2000,1000,357
10005,Hernandez,Eduard,09/23/1989,National Highway Gingoog  Misamis Occidental,088-861-012,50-5577638-1,957436191812,952347222457,031-702-374-000,Regular,IT Operations and Systems,Lim Antonio,52670,1500,1000,1000,314
10006,Villanueva,Andrea Mae,02/02/1989,17/85 Stracke Via Suite 042 Poblacion Las Piñas 4783 Dinagat Islands ,918-621-603,49-1632020-8,382189453145,441093369646,317-674-022-000,Regular,HR Manager,Lim Antonio,52670,1500,1000,1000,314
10007,San Jose,Brad ,03/15/1996,99 Strosin Hills Poblacion Bislig 5340 Tawi-Tawi,797-009-261,40-2400714-1,239192926939,210850209964,672-474-690-000,Regular,HR Team Leader,Villanueva Andrea Mae,42975,1500,800,800,256
10008,Romualdez,Alice,05/14/1992,12A/33 Upton Isle Apt. 420 Roxas City 1814 Surigao del Norte ,983-606-799,55-4476527-2,545652640232,211385556888,888-572-294-000,Regular,HR Rank and File,San Jose Brad,22500,1500,500,500,134
10009,Atienza,Rosie ,09/24/1948,90A Dibbert Terrace Apt. 190 San Lorenzo 6056 Davao del Norte,266-036-427,41-0644692-3,708988234853,260107732354,604-997-793-000,Regular,HR Rank and File,San Jose Brad,22500,1500,500,500,134
10010,Alvaro,Roderick,03/30/1988,#284 T. Morato corner Scout Rallos Street Quezon City,053-381-386,64-7605054-4,578114853194,799254095212,525-420-419-000,Regular,Accounting Head,Aquino Bianca Sofia ,52670,1500,1000,1000,314
10011,Salcedo,Anthony,09/14/1993,93/54 Shanahan Alley Apt. 183 Santo Tomas 1572 Masbate,070-766-300,26-9647608-3,126445315651,218002473454,210-805-911-000,Regular,Payroll Manager,Alvaro Roderick,50825,1500,1000,1000,303
10012,Lopez,Josie ,01/14/1987,49 Springs Apt. 266 Poblacion Taguig 3200 Occidental Mindoro,478-355-427,44-8563448-3,431709011012,113071293354,218-489-737-000,Regular,Payroll Team Leader,Salcedo Anthony,38475,1500,800,800,229
